,K10111,K10112,K10227,K10228,K10229,K00008,K19270,K24204,K00009,K00045,K02798,K02800,K02000,K02001,K02002,K05845,K05846,K05847,K00130,K14085,K18897,K24071,K18896,K13042,K00108,K00315,K00544,K00314,K00304,K00303,K00309,K00302,K00306,K00301
K18897,0.3187468016310648,0.33470600688269353,0.35761574768364573,0.3836970713620868,0.15730701615340542,-0.4972332930204161,-0.14905096594493544,-0.6042962703446441,0.4355131192966034,0.3936281726537191,0.1467510570669674,0.2839546820611989,0.34085455719292945,0.30128768789897625,0.2634252443697432,0.08178919919341167,0.12704912385884168,0.5058870811677724,-0.10453882721010684,-0.6898852360368014,1,0.3140757253230109,0.5086310601799311,0.14110925841313027,-0.20184264131063615,-0.4790248735969241,-0.6086611085222391,-0.5744582223141235,-0.029531513255974282,0.12256905181031272,0.09844165760486796,0.12892915964700788,-0.49096230738070923,0.11353616638517378
K24071,0.2593736173587098,0.29113649454333984,0.22766531375555765,0.25906662565234256,0.2403982652200093,-0.27390452616160976,-0.14534398539205534,-0.31991813444040296,0.3045530621512437,0.24974857774816783,0.17201464559688487,0.3421737244343456,0.45924532890336167,0.4401928155218765,0.3851234239594585,0.3180407089617506,0.2718981338062873,0.31264040574139385,0.08079460986813976,-0.34997410531804096,0.3140757253230109,1,0.5849858360004685,-0.015199509346848663,-0.02831587239821513,-0.07450139952335037,-0.3043320083514115,-0.2836457619435599,0.4403333185271413,0.1686212499450847,0.04700721262806129,0.18469595368216754,-0.21257116382067798,0.13879729613832958
K18896,0.3319450980022664,0.4017581207667437,0.32974431442457447,0.34512472355153584,0.2408725501046579,-0.3722961400496334,-0.1826783602990658,-0.47271724846689467,0.35535942628870476,0.3003691917778021,0.11993052824521716,0.4220904013889381,0.5371847379559498,0.5200607466841396,0.46416579143876213,0.3450190842202206,0.339326910040167,0.4664524033636558,-0.018241232292752426,-0.44926290514585887,0.5086310601799311,0.5849858360004685,1,0.36779130069892724,-0.24499107061376396,-0.25813510131748074,-0.5008550566263189,-0.4100857552844481,0.3258351246547538,0.1674901832438163,0.06146837160703482,0.17364654420891706,-0.36916725958165264,0.20092029029159014
K13042,0.13196123996684,0.17015533979827027,0.21642912108833848,0.0901628407647804,0.02240858510892299,-0.037685818451862065,-0.13229367304799358,-0.2320146238814373,-0.046428559843838146,-0.008024642915667396,0.0006900500325353045,0.16395028237042097,0.272647991736201,0.23334033282367686,0.2512101885284747,0.15836459013070148,0.17349053206910114,0.10022310018411255,0.023706128957409194,-0.10192300350779206,0.14110925841313027,-0.015199509346848663,0.3677913006989272,1,-0.2342080847791651,-0.16167758123359793,-0.14513053856692879,-0.19618668038510062,0.023008826202187464,0.0002623714545621983,-0.006159093240261991,0.015395795095195336,-0.17612854045468032,0.06336936733776173
K00108,0.05165578302436233,-0.15810235043314924,0.009615535102224773,0.010000301550346102,0.14885395280743532,0.43467021101254744,0.3318158614533952,0.3472000816389901,-0.006783931513217739,-0.07323452277002457,0.1465484495289489,-0.057228064218274075,-0.14504737974277326,-0.15984792466548853,-0.21209945352815796,-0.005478315258192724,-0.015159925172391097,-0.0723433428422594,0.42341141882306865,0.3565688027126361,-0.20184264131063615,-0.02831587239821513,-0.24499107061376396,-0.2342080847791651,1,0.47501827817480274,0.3653421857457002,0.4532144935008586,0.19518331654392493,0.2531455444538134,0.11146566889849516,0.13697329042612705,0.5334233396909579,0.14540969278485533
K00315,-0.21665175260664785,-0.34868704438476966,-0.32132221020565166,-0.2878183204951704,-0.00823445952397404,0.47713657424038153,0.3092927325564833,0.6499343149195754,-0.30613127220300335,-0.3322040732357167,-0.10598872481329634,-0.23803184426980992,-0.3244237836776226,-0.2971130913703113,-0.3291932877948545,-0.16570540386833685,-0.19635585201808814,-0.30846730860289623,0.27928219952300654,0.5564799123211098,-0.4790248735969241,-0.07450139952335037,-0.25813510131748074,-0.16167758123359793,0.47501827817480274,1,0.6683715026702335,0.7993269123760499,0.037624673386119835,0.11220403554929555,-0.0645820155692883,-0.10751602258659068,0.592504443524246,-0.045655264317263876
K00544,-0.30415156727684567,-0.39785131394148965,-0.43494959254055826,-0.3733086278533306,-0.16423041150693785,0.7886902120550021,0.35458793485876516,0.7580256612403872,-0.42892297049066097,-0.4319590347589559,-0.14030068539657178,-0.34051134781861697,-0.47063227391985574,-0.42187452199081404,-0.4290806652379568,-0.2654206015672169,-0.2875439010342369,-0.4961606124518763,0.2746575043353436,0.7606349394178875,-0.6086611085222391,-0.3043320083514115,-0.5008550566263188,-0.14513053856692879,0.3653421857457002,0.6683715026702335,1,0.8550909119083542,-0.15701794817848247,-0.037429598957477724,-0.10894742705658252,-0.14150714211582793,0.7599365710863621,-0.15994140163319825
K00314,-0.29761863116812537,-0.4078748029207444,-0.449108255321544,-0.35820316393928353,-0.1211037154640345,0.693352379261914,0.3732401685992497,0.7621773161469562,-0.38197134793949233,-0.390330185152978,-0.16540447507669398,-0.3442754012515137,-0.46142438122648427,-0.4300973084423806,-0.45267348056974765,-0.2506470788312213,-0.2800366496553307,-0.43341764288814694,0.2507623301961083,0.7364436518032352,-0.5744582223141235,-0.2836457619435599,-0.4100857552844481,-0.1961866803851006,0.4532144935008586,0.7993269123760499,0.8550909119083542,1,-0.16307095591666362,0.044807712500376955,-0.08790749635823868,-0.17145269471662075,0.7060750154173685,-0.13638989945453078
K00304,0.5997023341539484,0.6500812059459796,0.6066532239876486,0.5006402831431284,0.3906397723071238,0.0009899071441740927,-0.10278879709011698,-0.18119617410135766,0.26449717647582804,0.3706803427544923,0.36732108864713975,0.5460692112326396,0.6876733729222807,0.7111065797132409,0.7312375018963129,0.595407008003584,0.6559708967632086,0.388483292626221,0.4645099841789313,-0.09311120856874239,-0.029531513255974282,0.44033331852714136,0.32583512465475384,0.023008826202187468,0.19518331654392493,0.037624673386119835,-0.15701794817848247,-0.16307095591666365,1,0.662112196701503,0.0013303659900271198,0.5376276557869162,0.042551837182989445,0.20463573025974693
K00303,0.36684879033496837,0.2799873171611525,0.3323617988964103,0.3034242175109593,0.26604905182324956,0.09222158887805817,0.1454947480541617,-0.025634742582446166,0.169929204196604,0.21063978460163477,0.29477554177184123,0.29398450517078273,0.28600752574082006,0.32403989137318384,0.30216450492614816,0.2789968887711169,0.28118226114079287,0.17836117671896073,0.3024470879355467,0.0020393489726619344,0.12256905181031272,0.1686212499450847,0.1674901832438163,0.0002623714545621982,0.2531455444538134,0.11220403554929556,-0.037429598957477724,0.044807712500376955,0.662112196701503,1,0.0767986915360987,0.35378157697203066,0.059160357489594806,0.17140575233412794
K00309,0.12244467909316939,0.12200595176431962,0.08075378975107127,0.13097848143210175,0.11314271867299917,-0.012429761352484171,0.07825674306409765,-0.05537676765993282,0.18583652575775675,0.1540093802138137,0.09317891641747082,0.04382662599102991,0.08067248649923554,0.08124727775159248,0.060574100502045404,0.06208559267153005,0.07566270532653499,0.16942686194932166,0.04861419050188329,-0.09599252925794087,0.09844165760486795,0.0470072126280613,0.06146837160703482,-0.006159093240261991,0.11146566889849516,-0.0645820155692883,-0.10894742705658252,-0.08790749635823868,0.00133036599002712,0.0767986915360987,1,0.15804883264957936,0.05686415020956291,0.10674786439442586
K00302,0.44366277014259814,0.40854641862241037,0.44476031456918014,0.3973493608849388,0.4460392727875949,0.04669632512904994,0.013981385428778663,-0.17249383874839275,0.3747181551855601,0.3658590390180402,0.4114547723299948,0.3586002041677129,0.40985476770672763,0.4167538436041861,0.4239198503169656,0.39700670605650623,0.4098659334877554,0.3456866658113353,0.28725872466825075,-0.13810256178628583,0.12892915964700788,0.1846959536821675,0.1736465442089171,0.015395795095195336,0.13697329042612708,-0.10751602258659068,-0.14150714211582793,-0.17145269471662075,0.5376276557869161,0.35378157697203066,0.15804883264957933,1,0.06832062860463832,0.3458293748549531
K00306,-0.1400163078242879,-0.21804918629244147,-0.25399259616441183,-0.1612340513042768,0.0797460057904377,0.7413533510221371,0.40744341714059823,0.6323053250720819,-0.16751195604142452,-0.23617371886748287,0.015970800974943054,-0.1476883153053132,-0.2731904377791721,-0.22604986162786186,-0.2598882821256434,-0.09554029735360371,-0.10722137886802721,-0.29721472866708193,0.35837243847295636,0.600383145015245,-0.4909623073807092,-0.21257116382067795,-0.36916725958165264,-0.17612854045468035,0.5334233396909579,0.592504443524246,0.759936571086362,0.7060750154173686,0.04255183718298944,0.05916035748959481,0.05686415020956292,0.06832062860463832,1,0.10448223226541196
K00301,0.34352466084013583,0.3673505182317551,0.30395665655488213,0.3353485097668923,0.6051679849738744,0.06358578617792622,-0.0018333863901533794,-0.1752819444040823,0.42717270232212606,0.27649798448392093,0.3107936629991427,0.42071581378026535,0.4406772665617304,0.4422956476605323,0.4160109050983731,0.386758715260559,0.4098504329645653,0.3949981999261563,0.17305134891538893,-0.16735500862778302,0.11353616638517376,0.13879729613832958,0.20092029029159014,0.06336936733776173,0.14540969278485533,-0.045655264317263876,-0.15994140163319828,-0.13638989945453078,0.20463573025974693,0.17140575233412794,0.10674786439442585,0.3458293748549531,0.10448223226541198,1
