,K10111,K10112,K10227,K10228,K10229,K00008,K19270,K00007,K24204,K00009,K00045,K02798,K02800,K02000,K02001,K02002,K05845,K05846,K05847,K00130,K00499,K14085,K18897,K24071,K18896,K13042,K00108,K00315,K00305,K00544,K00314,K00304,K00303,K00309,K00302,K00306,K00301
K00499,-0.017681559427289977,0.6270961869492291,0.4704083917213232,0.37181190564451905,0.31875911548122315,0.003726607059291082,-0.24206017215255077,0.07867562369327417,0.33716823519382666,-0.007736061829851352,0.23104760716291262,-0.42855404605341024,-0.21687860232119882,0.5565608036438511,0.5456050268113735,0.4862474720967192,-0.00390884500053219,0.40632535537457015,0.1560344859226526,0.2778271226129436,1,-0.30692993427568815,-0.22133623544662348,-0.32175293585091325,-0.230496474599746,-0.11978434402527767,0.5304743098961678,0.7528930958419433,0.6043276236057535,0.3839752036086163,0.538712246613252,0.5749599022238209,0.6509933604689147,0.2206368209627454,0.5709482894674062,-0.23353115473025995,-0.13865162610224116
K14085,0.18582145341774078,-0.3450729699116502,-0.46224218911951953,-0.5091752509884201,-0.47634922302979177,0.03709998848318485,0.17886053184022394,0.007594218678481201,-0.15022255608853194,0.08009028240854413,-0.4099559153544009,0.2831198588797729,0.4471689748730913,-0.48601411089312946,-0.27645622454547314,-0.2396449544649903,-0.1123203224588875,-0.22181834792713112,-0.1484218156654824,-0.36673237156850425,-0.3069299342756881,1,0.14249697200517833,0.39403282534942397,0.23153017238146692,0.28927643985124923,-0.46216934359825207,-0.36673237156850425,-0.4625447782078612,-0.1686317782325021,-0.2701280033645986,-0.04764844224442445,-0.23663774192035983,0.11116986018810858,-0.21893254458461306,-0.01827550961036303,-0.09367363871648207
K18897,0.3093664206092064,-0.20453694602496147,-0.09965241587127696,-0.04579705784548566,-0.03618528961541834,-0.12402613464072869,0.18742658523438385,0.1995472338419139,-0.1271493906914288,0.13625123075736512,-0.09348435690839668,0.30819187699535505,0.15943733187312362,-0.05208073350418905,-0.07070236227430096,-0.05656959759916231,0.1906647777118368,-0.05249915583192981,0.090988504427136,0.020677036695856018,-0.22133623544662348,0.14249697200517833,1,0.46006251270655424,0.8757490632284468,0.40012600476827803,-0.05028041638351497,-0.3658038848417137,-0.263919883222486,0.02116152570692427,-0.00012479262406303446,-0.31340382903477515,-0.3803312144311693,0.036274224746273495,-0.4569116763359688,0.3408678558337423,0.516937641466742
K24071,0.09770226074688629,-0.30259970289987226,-0.3665523820084312,-0.20715420404328974,-0.21287435614055064,-0.03369043733720747,0.26192058759601095,0.10209012492531525,0.029925188644826135,0.09493821341335568,-0.375246663071076,0.597789074740579,0.25597419197058435,-0.22160635391452907,-0.13301483654516486,-0.23496037434048644,0.13288778024571077,-0.07666133420395585,0.078127523564323,-0.19920007634413156,-0.3217529358509132,0.39403282534942397,0.4600625127065543,1,0.483090594617045,0.25822696162279174,-0.2563592769652122,-0.39170549576702685,-0.3750086846054318,-0.22510141053284577,-0.26083448217931765,-0.2347375216247773,-0.350914373342287,0.054789905536175965,-0.2929071223415167,0.15085522332588192,0.2665525969879839
K18896,0.30671930531423575,-0.21208817737438831,-0.14596696858695427,-0.09885787853904976,-0.06655345806457116,-0.11210256609624884,0.21575591764856375,0.1599041974239144,-0.11323061727367222,0.07961120360415551,-0.11476646481516152,0.31786469221601443,0.19377540588529443,-0.14174388863525456,-0.11410574826470003,-0.09964156178084715,0.14741503902671574,-0.10837219686569528,0.061077739118911276,-0.052750875259345166,-0.230496474599746,0.23153017238146692,0.8757490632284469,0.483090594617045,1,0.5140202302225306,-0.09279396886481428,-0.340904045505613,-0.29980747606690805,-0.010248447827158284,-0.06236980703981375,-0.19502333713496894,-0.3208843340266297,0.15209616405113216,-0.3767222238356311,0.22994637742593066,0.43134904158501297
K13042,0.37190207474640363,-0.03917453569499028,-0.1637211806645803,-0.20524540744052283,-0.17136263692590586,-0.16209235619614856,0.045876686315460644,-0.07918499389348732,-0.1999888804993574,-0.029294251641614404,-0.15481708814728742,0.10649945302934755,0.3769531071848465,-0.16200718624726515,0.018641316498192097,-0.04624530506971189,-0.08729655617100295,-0.1334919601374259,-0.18268576952755716,-0.24771775517895495,-0.11978434402527767,0.2892764398512492,0.4001260047682781,0.25822696162279174,0.5140202302225306,1,-0.3085927619650669,-0.15702575437111882,-0.3572268111530876,0.20426474228023622,-0.19582711659803545,0.06181011006948262,-0.17551085871988473,0.254990442343177,-0.22677013986354005,-0.013460975886942677,0.026989192424232197
K00108,-0.009060078764144332,0.5492973254691532,0.5601760264847188,0.5926744941440731,0.5589366468609842,-0.03429326765166569,-0.10830717071578955,0.09736543432068367,0.22772092563267674,-0.05335597904685404,0.5091555059660352,-0.21037382914393846,-0.5315572854802959,0.6875217922696626,0.5145526482883663,0.4178555305568912,0.16761971525991068,0.48070351869455596,0.3096300727815928,0.622225729375796,0.5304743098961678,-0.4621693435982521,-0.05028041638351497,-0.25635927696521216,-0.09279396886481428,-0.30859276196506685,1,0.44535875122495494,0.6564253704227059,0.16650211591468808,0.49959810466895943,0.24880440726861658,0.42770104859813773,-0.08380945031193245,0.3757115749525617,0.07500306431475266,0.16644753500782403
K00315,-0.08606616041312638,0.7205139121849526,0.5536741307866505,0.40391398338832635,0.35254678343661994,-0.057142593500976564,-0.239946746700513,-0.10851248259794459,0.43909950862061664,-0.00023122851157899904,0.2141643329822102,-0.48184609183303817,-0.21633815378561702,0.5743249443035466,0.5819462744853354,0.5632425429147138,-0.07902473399667473,0.34574192814331695,0.11970791935667385,0.13491020667329764,0.7528930958419433,-0.3667323715685042,-0.3658038848417137,-0.39170549576702685,-0.34090404550561293,-0.15702575437111882,0.44535875122495494,1,0.682926605470915,0.37018413779687953,0.6150173053560352,0.7368282934313053,0.866469817477125,0.3302408576646992,0.7897133146638577,-0.4991866182042495,-0.2825086127599146
K00305,-0.2049794648002085,0.5879710341739491,0.6500923074664445,0.6604975427495514,0.6417326284563805,0.10974693919151791,-0.12114305313829966,0.008139333813946466,0.3524276181201629,-0.016446586672785632,0.4781618518749611,-0.265078533096308,-0.5366140119312148,0.6467982338627096,0.4757853475201774,0.38957604630421466,0.1470019342359768,0.4289104048682555,0.30821701613820796,0.3970010166667279,0.6043276236057535,-0.4625447782078612,-0.263919883222486,-0.3750086846054318,-0.29980747606690805,-0.35722681115308763,0.6564253704227059,0.682926605470915,1,0.18072443927343196,0.44815550229575823,0.49221901276889374,0.6346294304831187,-0.011275719808823218,0.6633988967147351,-0.1994034214318645,-0.09614623353075155
K00544,0.16219504586011108,0.4175820949207037,0.28786349505797204,0.17882690606660087,0.12435271194599026,-0.07541318589668353,-0.13749974232723355,0.0573330033854115,0.22490449114318461,0.11759254416634207,0.11510355686543665,-0.4178139736442111,0.08265834614490855,0.3266674985961191,0.440937902583508,0.35600585776208526,-0.10567645040171182,0.14208559820009617,-0.06934070814324357,0.015437185044355298,0.3839752036086163,-0.1686317782325021,0.021161525706924266,-0.22510141053284577,-0.010248447827158285,0.20426474228023622,0.16650211591468808,0.37018413779687953,0.18072443927343196,1,0.301030613780422,0.39568522236373177,0.3554589864897104,0.3197364411652743,0.2214736896193556,-0.04893575301587471,0.008780314372574153
K00314,0.15213481661460992,0.44044975574306594,0.3423726138611681,0.2367934257998451,0.1904590188152449,0.04526873272592545,-0.1656944382241297,0.031404239949602404,0.18514730270982224,0.1243504726892759,0.13702979163837498,-0.34963096260534204,-0.15692092981006583,0.5504773195233045,0.5834125501451595,0.6037495549789144,0.18803563104907528,0.5386443464888295,0.2201615655933553,0.19387504174940084,0.538712246613252,-0.2701280033645986,-0.00012479262406303444,-0.26083448217931765,-0.062369807039813756,-0.19582711659803545,0.49959810466895943,0.6150173053560352,0.44815550229575823,0.301030613780422,1,0.3932683449619943,0.5992956738445051,0.25634081844208434,0.4608234633467788,-0.19291109510198307,0.057572187911309
K00304,0.07120887913410825,0.6068160714089094,0.2897096443868619,0.17672383734800465,0.14811501368786112,-0.07307080225620828,-0.17656281098305004,-0.06998805175171714,0.3002404176288452,0.02752995647978059,0.05480274096286047,-0.27615725643732875,0.011077818624922084,0.4021302287683652,0.5228493094373833,0.4495557129696579,-0.22562477290161093,0.26103377021863844,-0.044052499642147996,-0.10030867029534718,0.5749599022238209,-0.04764844224442445,-0.31340382903477515,-0.23473752162477732,-0.19502333713496892,0.06181011006948262,0.24880440726861658,0.7368282934313053,0.49221901276889374,0.39568522236373177,0.3932683449619943,1,0.865719245831483,0.44677927840543413,0.8116909333147372,-0.4594953361709969,-0.3142854697239488
K00303,-0.06799004620878739,0.6596258519630477,0.4120014387485824,0.27240245321314405,0.23719818266153672,-0.02052429319876506,-0.23461846694170055,-0.08629710033378496,0.36508309278160794,-0.04702839247602555,0.1125784062923229,-0.4156098398650979,-0.20649905421508444,0.523080536888119,0.5705463941363655,0.5508773797158472,-0.12053189654223205,0.3796351010610771,0.0034977739770020444,0.019254273119992366,0.6509933604689147,-0.23663774192035983,-0.3803312144311693,-0.350914373342287,-0.3208843340266297,-0.17551085871988475,0.42770104859813773,0.866469817477125,0.6346294304831187,0.3554589864897104,0.5992956738445051,0.865719245831483,1,0.3411933646581555,0.9020770097519261,-0.48607091103721334,-0.3074524580472484
K00309,0.2523704428351339,0.24712190745832333,0.026569562572321553,-0.11261762891796011,-0.16082875063225802,-0.10404452382253439,-0.143706239058529,0.11314959738042316,0.2570760037676745,0.14678520251734017,-0.1894706579537,-0.11118705258097353,0.3928240374800143,0.027550219637128,0.1940011466781897,0.2860415051632729,0.009740458935830351,0.09957709367977548,-0.042605325662003035,-0.34675776710452916,0.22063682096274542,0.1111698601881086,0.036274224746273495,0.054789905536175965,0.15209616405113216,0.254990442343177,-0.08380945031193245,0.3302408576646992,-0.011275719808823218,0.3197364411652743,0.25634081844208434,0.4467792784054341,0.3411933646581555,1,0.26257919306595606,-0.3252610198618519,-0.1864151390102903
K00302,-0.19917125145434728,0.614101571245582,0.408848670809186,0.325182871551316,0.30613977981083856,0.08457258069166125,-0.10621257310742248,-0.13113524583854028,0.4110405028109323,-0.012502855947521591,0.19428244249593518,-0.3183144595786628,-0.23969030188503446,0.48902770692104136,0.5013231348569877,0.45033381169276854,-0.04909729537288179,0.38091786287111085,0.10267783409613923,0.06511071390557846,0.5709482894674062,-0.21893254458461306,-0.4569116763359688,-0.2929071223415167,-0.37672222383563103,-0.22677013986354005,0.3757115749525617,0.7897133146638577,0.6633988967147351,0.2214736896193556,0.4608234633467788,0.8116909333147372,0.9020770097519261,0.26257919306595606,1,-0.4854281741493683,-0.37284876122433697
K00306,0.13769270296786432,-0.23986165723376907,-0.14430810657414161,-0.06882412919791625,-0.06461275074014029,0.0680465030619381,0.09238371101123737,0.04208127722422536,-0.25635185964379825,0.08575220653883199,-0.00415271847394908,0.2539777019987325,-0.06791247682626537,-0.05898592431712524,-0.17653953813251202,-0.22204052345341344,0.07541446150714992,-0.07898826094027404,0.005337907061464734,0.12194906802889437,-0.23353115473025993,-0.01827550961036303,0.3408678558337423,0.1508552233258819,0.22994637742593066,-0.013460975886942677,0.07500306431475266,-0.4991866182042495,-0.1994034214318645,-0.0489357530158747,-0.19291109510198307,-0.4594953361709969,-0.4860709110372133,-0.32526101986185185,-0.48542817414936834,1,0.4865292993465191
K00301,0.1955523619990767,-0.07777177922496924,-0.06498112354570414,0.10823145125226617,0.07890621110018116,-0.020659850461261956,0.007477841797215919,0.14963572662860788,-0.18213691813618954,0.18731484501459986,-0.031101730793530787,0.258921395045754,0.009928492686974509,0.08577041690217141,0.01228086653010947,-0.06194810774298001,0.061553135969760336,0.017725047227488588,0.09067357812414033,0.19723971815583144,-0.13865162610224116,-0.09367363871648207,0.516937641466742,0.26655259698798384,0.43134904158501297,0.026989192424232193,0.166447535007824,-0.2825086127599147,-0.09614623353075155,0.008780314372574153,0.057572187911309,-0.31428546972394883,-0.3074524580472484,-0.18641513901029028,-0.3728487612243369,0.48652929934651906,1
